time,pnl_r,type,symbol,dollar_pnl,balance,drawdown
2025-12-28 02:15:00,-1.0,SNIPER,SOLUSD,-48.5,4486.25,-59.2959295929593
2025-12-28 02:25:00,-1.0,SNIPER,BTCUSD,-48.5,4437.75,-59.73597359735974
2025-12-28 04:55:00,-1.0,SNIPER,SOLUSD,-48.5,4389.25,-60.17601760176018
2025-12-28 05:05:00,2.0,SNIPER,ETHUSD,97.0,4486.25,-59.2959295929593
2025-12-28 07:50:00,2.0,SNIPER,BTCUSD,97.0,4583.25,-58.415841584158414
2025-12-28 07:55:00,-1.0,SNIPER,ETHUSD,-48.5,4534.75,-58.855885588558856
2025-12-28 10:45:00,-1.0,SNIPER,SOLUSD,-48.5,4486.25,-59.2959295929593
2025-12-28 10:45:00,-1.0,SNIPER,ETHUSD,-48.5,4437.75,-59.73597359735974
2025-12-28 13:05:00,-1.0,SNIPER,BTCUSD,-48.5,4389.25,-60.17601760176018
2025-12-28 14:35:00,-1.0,SNIPER,ETHUSD,-48.5,4340.75,-60.61606160616062
2025-12-28 20:35:00,-1.0,SNIPER,BTCUSD,-48.5,4292.25,-61.05610561056105
2025-12-28 21:10:00,2.0,SNIPER,ETHUSD,97.0,4389.25,-60.17601760176018
2025-12-29 00:05:00,-1.0,SNIPER,USDCAD,-48.5,4340.75,-60.61606160616062
2025-12-29 00:10:00,-1.0,SNIPER,BTCUSD,-48.5,4292.25,-61.05610561056105
2025-12-29 00:35:00,2.0,SNIPER,AUDUSD,97.0,4389.25,-60.17601760176018
2025-12-29 01:00:00,-1.0,SNIPER,GBPUSD,-48.5,4340.75,-60.61606160616062
2025-12-29 01:15:00,2.0,SNIPER,ETHUSD,97.0,4437.75,-59.73597359735974
2025-12-29 01:50:00,-1.0,SNIPER,EURGBP,-48.5,4389.25,-60.17601760176018
2025-12-29 02:00:00,-1.0,SNIPER,GBPJPY,-48.5,4340.75,-60.61606160616062
2025-12-29 02:00:00,-1.0,SNIPER,USDJPY,-48.5,4292.25,-61.05610561056105
2025-12-29 02:45:00,-1.0,SNIPER,EURJPY,-48.5,4243.75,-61.496149614961496
2025-12-29 03:10:00,-1.0,SNIPER,SOLUSD,-48.5,4195.25,-61.93619361936194
2025-12-29 07:40:00,2.0,SNIPER,GBPCAD,97.0,4292.25,-61.05610561056105
2025-12-29 07:45:00,-1.0,SNIPER,GBPUSD,-48.5,4243.75,-61.496149614961496
2025-12-29 08:00:00,-1.0,SNIPER,EURUSD,-48.5,4195.25,-61.93619361936194
2025-12-29 08:30:00,-1.0,SNIPER,SOLUSD,-48.5,4146.75,-62.37623762376238
2025-12-29 10:10:00,-1.0,SNIPER,ETHUSD,-48.5,4098.25,-62.81628162816282
2025-12-29 13:35:00,-1.0,SNIPER,CADCHF,-48.5,4049.75,-63.25632563256326
2025-12-29 13:45:00,-1.0,SNIPER,USDJPY,-48.5,4001.25,-63.6963696369637
2025-12-29 14:45:00,-1.0,SNIPER,EURGBP,-48.5,3952.75,-64.13641364136413
2025-12-29 14:50:00,-1.0,SNIPER,GBPCAD,-48.5,3904.25,-64.57645764576458
2025-12-29 14:50:00,2.0,SNIPER,GBPUSD,97.0,4001.25,-63.6963696369637
2025-12-29 14:55:00,-1.0,SNIPER,GBPJPY,-48.5,3952.75,-64.13641364136413
2025-12-29 15:05:00,-1.0,SNIPER,EURJPY,-48.5,3904.25,-64.57645764576458
2025-12-29 15:05:00,-1.0,SNIPER,AUDJPY,-48.5,3855.75,-65.01650165016501
2025-12-29 18:45:00,-1.0,SNIPER,USDJPY,-48.5,3807.25,-65.45654565456546
2025-12-29 22:25:00,-1.0,SNIPER,AUDUSD,-48.5,3758.75,-65.8965896589659
2025-12-29 23:10:00,2.0,SNIPER,USDCAD,97.0,3855.75,-65.01650165016501
2025-12-30 00:05:00,-1.0,SNIPER,EURGBP,-48.5,3807.25,-65.45654565456546
2025-12-30 00:05:00,-1.0,SNIPER,EURJPY,-48.5,3758.75,-65.8965896589659
2025-12-30 00:15:00,-1.0,SNIPER,USDJPY,-48.5,3710.25,-66.33663366336634
2025-12-30 00:15:00,2.0,SNIPER,AUDNZD,97.0,3807.25,-65.45654565456546
2025-12-30 00:40:00,-1.0,SNIPER,EURUSD,-48.5,3758.75,-65.8965896589659
2025-12-30 01:05:00,-1.0,SNIPER,GBPUSD,-48.5,3710.25,-66.33663366336634
2025-12-30 01:05:00,-1.0,SNIPER,GBPCAD,-48.5,3661.75,-66.77667766776678
2025-12-30 01:10:00,2.0,SNIPER,GBPJPY,97.0,3758.75,-65.8965896589659
2025-12-30 01:55:00,-1.0,SNIPER,AUDJPY,-48.5,3710.25,-66.33663366336634
2025-12-30 02:05:00,-1.0,SNIPER,BTCUSD,-48.5,3661.75,-66.77667766776678
2025-12-30 02:30:00,-1.0,SNIPER,ETHUSD,-48.5,3613.25,-67.21672167216721
2025-12-30 03:55:00,2.0,SNIPER,GBPCAD,97.0,3710.25,-66.33663366336634
2025-12-30 07:15:00,-1.0,SNIPER,GBPJPY,-48.5,3661.75,-66.77667766776678
2025-12-30 08:00:00,2.0,SNIPER,ETHUSD,97.0,3758.75,-65.8965896589659
2025-12-30 08:05:00,-1.0,SNIPER,CADCHF,-48.5,3710.25,-66.33663366336634
2025-12-30 09:20:00,-1.0,SNIPER,BTCUSD,-48.5,3661.75,-66.77667766776678
2025-12-30 09:30:00,2.0,SNIPER,SOLUSD,97.0,3758.75,-65.8965896589659
2025-12-30 10:35:00,-1.0,SNIPER,EURJPY,-48.5,3710.25,-66.33663366336634
2025-12-30 14:15:00,-1.0,SNIPER,EURGBP,-48.5,3661.75,-66.77667766776678
2025-12-30 14:40:00,2.0,SNIPER,GBPUSD,97.0,3758.75,-65.8965896589659
2025-12-30 14:40:00,-1.0,SNIPER,EURUSD,-48.5,3710.25,-66.33663366336634
2025-12-30 16:00:00,-1.0,SNIPER,SOLUSD,-48.5,3661.75,-66.77667766776678
2025-12-30 16:30:00,-1.0,SNIPER,AUDUSD,-48.5,3613.25,-67.21672167216721
2025-12-30 18:55:00,2.0,SNIPER,NZDUSD,97.0,3710.25,-66.33663366336634
2025-12-30 20:05:00,-1.0,SNIPER,EURUSD,-48.5,3661.75,-66.77667766776678
