symbol,time,pnl_r,is_winner,dollar_pnl,balance
CADCHF,2026-02-09 00:10:00,2.5,True,6250.0,862500.0
GBPUSD,2026-02-09 00:10:00,-1.0,False,-2500.0,860000.0
EURJPY,2026-02-09 00:10:00,2.5,True,6250.0,866250.0
GBPJPY,2026-02-09 00:10:00,2.5,True,6250.0,872500.0
SOLUSD,2026-02-09 01:00:00,-1.0,False,-2500.0,870000.0
ETHUSD,2026-02-09 01:05:00,2.5,True,6250.0,876250.0
SOLUSD,2026-02-09 01:05:00,2.5,True,6250.0,882500.0
BTCUSD,2026-02-09 01:05:00,2.5,True,6250.0,888750.0
EURGBP,2026-02-09 01:10:00,-1.0,False,-2500.0,886250.0
EURGBP,2026-02-09 01:20:00,-1.0,False,-2500.0,883750.0
USDJPY,2026-02-09 03:30:00,2.5,True,6250.0,890000.0
EURGBP,2026-02-09 04:40:00,2.5,True,6250.0,896250.0
AUDJPY,2026-02-09 06:20:00,-1.0,False,-2500.0,893750.0
GBPUSD,2026-02-09 08:00:00,2.5,True,6250.0,900000.0
USDCAD,2026-02-09 08:00:00,2.5,True,6250.0,906250.0
NZDUSD,2026-02-09 08:00:00,2.5,True,6250.0,912500.0
CADCHF,2026-02-09 08:00:00,-1.0,False,-2500.0,910000.0
EURUSD,2026-02-09 08:00:00,2.5,True,6250.0,916250.0
AUDUSD,2026-02-09 08:00:00,2.5,True,6250.0,922500.0
EURGBP,2026-02-09 08:25:00,-1.0,False,-2500.0,920000.0
AUDNZD,2026-02-09 09:00:00,-1.0,False,-2500.0,917500.0
GBPCAD,2026-02-09 09:10:00,-1.0,False,-2500.0,915000.0
SOLUSD,2026-02-09 09:45:00,-1.0,False,-2500.0,912500.0
BTCUSD,2026-02-09 10:30:00,-1.0,False,-2500.0,910000.0
ETHUSD,2026-02-09 10:30:00,-1.0,False,-2500.0,907500.0
AUDNZD,2026-02-09 10:50:00,2.5,True,6250.0,913750.0
AUDNZD,2026-02-09 10:55:00,2.5,True,6250.0,920000.0
BTCUSD,2026-02-09 12:15:00,-1.0,False,-2500.0,917500.0
BTCUSD,2026-02-09 12:20:00,-1.0,False,-2500.0,915000.0
BTCUSD,2026-02-09 12:30:00,-1.0,False,-2500.0,912500.0
EURGBP,2026-02-09 12:50:00,-1.0,False,-2500.0,910000.0
USDCAD,2026-02-09 13:40:00,-1.0,False,-2500.0,907500.0
GBPUSD,2026-02-09 13:40:00,-1.0,False,-2500.0,905000.0
USDCAD,2026-02-09 13:45:00,-1.0,False,-2500.0,902500.0
AUDJPY,2026-02-09 14:20:00,2.5,True,6250.0,908750.0
