position_id,profit,comment_exit,symbol,comment_entry,strategy
106119507,26.6,[tp 2065.70],ETHUSD,LHN_NEME_A20R15_,LHN_NEME_A20R15_
106119501,26.09,[tp 2066.11],ETHUSD,LHN_NEME_A15R15_,LHN_NEME_A15R15_
106119510,26.09,[tp 2065.95],ETHUSD,LHN_NEME_A28R15_,LHN_NEME_A28R15_
106119508,26.09,[tp 2065.95],ETHUSD,LHN_NEME_A25R15_,LHN_NEME_A25R15_
106157696,20.69,[tp 112.024],AUDJPY,LHN_NEME_A15R25_,LHN_NEME_A15R25_
106157697,20.72,[tp 112.025],AUDJPY,LHN_NEME_A20R25_,LHN_NEME_A20R25_
106157698,20.72,[tp 112.026],AUDJPY,LHN_NEME_A25R25_,LHN_NEME_A25R25_
106156075,-5.85,[sl 0.86569],EURGBP,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106156070,-5.85,[sl 0.86569],EURGBP,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106156088,-5.85,[sl 0.86569],EURGBP,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106156072,-5.85,[sl 0.86569],EURGBP,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106156078,-5.85,[sl 0.86569],EURGBP,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106156085,-5.79,[sl 0.86570],EURGBP,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106156146,-5.79,[sl 0.86571],EURGBP,LHN_EXPL_A25R30_,LHN_EXPL_A25R30_
106156135,-5.79,[sl 0.86571],EURGBP,LHN_EXPL_A20R30_,LHN_EXPL_A20R30_
106156093,-5.79,[sl 0.86571],EURGBP,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106156131,-5.79,[sl 0.86571],EURGBP,LHN_EXPL_A25R20_,LHN_EXPL_A25R20_
106156115,-5.79,[sl 0.86571],EURGBP,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106156109,-5.79,[sl 0.86571],EURGBP,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106156132,-5.79,[sl 0.86571],EURGBP,LHN_EXPL_A28R20_,LHN_EXPL_A28R20_
106156102,-5.79,[sl 0.86571],EURGBP,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106156120,-5.79,[sl 0.86571],EURGBP,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106156091,-5.79,[sl 0.86571],EURGBP,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106156094,-5.79,[sl 0.86571],EURGBP,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106156134,-5.79,[sl 0.86571],EURGBP,LHN_EXPL_A15R30_,LHN_EXPL_A15R30_
106156108,-5.79,[sl 0.86571],EURGBP,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106156128,-5.79,[sl 0.86571],EURGBP,LHN_EXPL_A20R20_,LHN_EXPL_A20R20_
106156123,-5.79,[sl 0.86571],EURGBP,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106156118,-5.79,[sl 0.86571],EURGBP,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106156126,-5.79,[sl 0.86571],EURGBP,LHN_EXPL_A15R20_,LHN_EXPL_A15R20_
106156149,-5.79,[sl 0.86571],EURGBP,LHN_EXPL_A28R30_,LHN_EXPL_A28R30_
106156747,10.09,[tp 93.554],NZDJPY,LHN_NEME_A15R15_,LHN_NEME_A15R15_
106158076,35.68,[tp 1.89197],GBPAUD,LHN_NEME_A15R25_,LHN_NEME_A15R25_
106162680,-10.09,[sl 1.96023],EURNZD,LHN_NEME_A20R25_,LHN_NEME_A20R25_
106162674,-10.09,[sl 1.96023],EURNZD,LHN_NEME_A15R15_,LHN_NEME_A15R15_
106162676,-9.97,[sl 1.96019],EURNZD,LHN_NEME_A20R15_,LHN_NEME_A20R15_
106162678,-10.03,[sl 1.96019],EURNZD,LHN_NEME_A25R15_,LHN_NEME_A25R15_
106170274,-8.9,[sl 116.247],CADJPY,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106170253,-8.9,[sl 116.248],CADJPY,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106170268,-8.74,[sl 116.249],CADJPY,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106170269,-8.9,[sl 116.248],CADJPY,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106170237,-8.8,[sl 116.251],CADJPY,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106170230,-8.8,[sl 116.250],CADJPY,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106162681,-10.0,[sl 1.96018],EURNZD,LHN_NEME_A25R25_,LHN_NEME_A25R25_
106162679,-10.06,[sl 1.96018],EURNZD,LHN_NEME_A15R25_,LHN_NEME_A15R25_
106111823,-426.05,[sl 1.35625],USDCAD,LHN_BETA_SNIPER,LHN_BETA_SNIPER
106155769,10.66,[tp 1.35596],USDCAD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106155773,10.62,[tp 1.35591],USDCAD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106155770,10.62,[tp 1.35592],USDCAD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106155772,10.62,[tp 1.35592],USDCAD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106156748,16.64,[tp 93.763],NZDJPY,LHN_NEME_A15R25_,LHN_NEME_A15R25_
106155774,14.39,[tp 1.35492],USDCAD,LHN_EXPL_A15R20_,LHN_EXPL_A15R20_
106162636,14.93,[tp 1.95830],EURNZD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106162643,14.93,[tp 1.95829],EURNZD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106162657,14.96,[tp 1.95829],EURNZD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106162644,14.99,[tp 1.95827],EURNZD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106162652,14.9,[tp 1.95827],EURNZD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106162654,14.9,[tp 1.95827],EURNZD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106162651,14.9,[tp 1.95827],EURNZD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106162656,14.9,[tp 1.95827],EURNZD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106112146,17.75,[tp 1.35464],USDCAD,LHN_NEME_A25R15_,LHN_NEME_A25R15_
106112144,17.79,[tp 1.35463],USDCAD,LHN_NEME_A20R15_,LHN_NEME_A20R15_
106112143,17.79,[tp 1.35463],USDCAD,LHN_NEME_A15R15_,LHN_NEME_A15R15_
106162648,15.08,[tp 1.95824],EURNZD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106162649,15.08,[tp 1.95824],EURNZD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106175363,-397.5,[sl 85.67],SOLUSD,LHN_BETA_SNIPER,LHN_BETA_SNIPER
106175364,-7.4,[sl 85.65],SOLUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106175388,-7.4,[sl 85.61],SOLUSD,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
