symbol,time,pnl_r,dollar_pnl,balance
EURUSD,2026-03-18 10:40:00,-1.1,-55.00000000000001,-6290.000000000004
AUDUSD,2026-03-18 11:25:00,1.4,70.0,-6220.000000000004
GBPJPY,2026-03-18 13:05:00,1.4,70.0,-6150.000000000004
ETHUSD,2026-03-18 13:40:00,-1.1,-55.00000000000001,-6205.000000000004
SOLUSD,2026-03-18 13:40:00,-1.1,-55.00000000000001,-6260.000000000004
BTCUSD,2026-03-18 13:40:00,-1.1,-55.00000000000001,-6315.000000000004
ETHUSD,2026-03-18 13:45:00,-1.1,-55.00000000000001,-6370.000000000004
ETHUSD,2026-03-18 13:50:00,-1.1,-55.00000000000001,-6425.000000000004
BTCUSD,2026-03-18 14:25:00,-1.1,-55.00000000000001,-6480.000000000004
NZDUSD,2026-03-18 14:25:00,-1.1,-55.00000000000001,-6535.000000000004
AUDUSD,2026-03-18 14:25:00,-1.1,-55.00000000000001,-6590.000000000004
AUDJPY,2026-03-18 14:25:00,-1.1,-55.00000000000001,-6645.000000000004
SOLUSD,2026-03-18 14:30:00,-1.1,-55.00000000000001,-6700.000000000004
ETHUSD,2026-03-18 14:30:00,-1.1,-55.00000000000001,-6755.000000000004
BTCUSD,2026-03-18 14:30:00,-1.1,-55.00000000000001,-6810.000000000004
SOLUSD,2026-03-18 14:35:00,-1.1,-55.00000000000001,-6865.000000000004
ETHUSD,2026-03-18 14:35:00,-1.1,-55.00000000000001,-6920.000000000004
BTCUSD,2026-03-18 14:35:00,-1.1,-55.00000000000001,-6975.000000000004
AUDJPY,2026-03-18 15:05:00,-1.1,-55.00000000000001,-7030.000000000004
AUDUSD,2026-03-18 15:15:00,-1.1,-55.00000000000001,-7085.000000000004
AUDJPY,2026-03-18 15:15:00,-1.1,-55.00000000000001,-7140.000000000004
GBPJPY,2026-03-18 15:25:00,1.4,70.0,-7070.000000000004
AUDNZD,2026-03-18 15:45:00,-1.1,-55.00000000000001,-7125.000000000004
CADCHF,2026-03-18 15:55:00,-1.1,-55.00000000000001,-7180.000000000004
CADCHF,2026-03-18 16:05:00,1.4,70.0,-7110.000000000004
EURJPY,2026-03-18 17:00:00,1.4,70.0,-7040.000000000004
ETHUSD,2026-03-18 17:40:00,-1.1,-55.00000000000001,-7095.000000000004
SOLUSD,2026-03-19 06:15:00,-1.1,-55.00000000000001,-7150.000000000004
BTCUSD,2026-03-19 06:15:00,1.4,70.0,-7080.000000000004
ETHUSD,2026-03-19 06:15:00,1.4,70.0,-7010.000000000004
ETHUSD,2026-03-19 06:20:00,1.4,70.0,-6940.000000000004
SOLUSD,2026-03-19 06:20:00,1.4,70.0,-6870.000000000004
SOLUSD,2026-03-19 06:25:00,1.4,70.0,-6800.000000000004
EURJPY,2026-03-19 06:45:00,-1.1,-55.00000000000001,-6855.000000000004
GBPJPY,2026-03-19 06:55:00,-1.1,-55.00000000000001,-6910.000000000004
GBPJPY,2026-03-19 07:00:00,-1.1,-55.00000000000001,-6965.000000000004
GBPJPY,2026-03-19 07:05:00,-1.1,-55.00000000000001,-7020.000000000004
AUDNZD,2026-03-19 07:30:00,-1.1,-55.00000000000001,-7075.000000000004
CADCHF,2026-03-19 07:35:00,-1.1,-55.00000000000001,-7130.000000000004
AUDNZD,2026-03-19 07:35:00,-1.1,-55.00000000000001,-7185.000000000004
CADCHF,2026-03-19 07:40:00,-1.1,-55.00000000000001,-7240.000000000004
GBPUSD,2026-03-19 08:40:00,1.4,70.0,-7170.000000000004
AUDUSD,2026-03-19 08:40:00,1.4,70.0,-7100.000000000004
EURUSD,2026-03-19 08:40:00,1.4,70.0,-7030.000000000004
NZDUSD,2026-03-19 08:40:00,1.4,70.0,-6960.000000000004
GBPJPY,2026-03-19 10:00:00,-1.1,-55.00000000000001,-7015.000000000004
GBPCAD,2026-03-19 10:00:00,1.4,70.0,-6945.000000000004
BTCUSD,2026-03-19 10:00:00,-1.1,-55.00000000000001,-7000.000000000004
BTCUSD,2026-03-19 10:05:00,-1.1,-55.00000000000001,-7055.000000000004
GBPJPY,2026-03-19 10:05:00,-1.1,-55.00000000000001,-7110.000000000004
USDJPY,2026-03-19 10:10:00,-1.1,-55.00000000000001,-7165.000000000004
ETHUSD,2026-03-19 10:10:00,-1.1,-55.00000000000001,-7220.000000000004
AUDJPY,2026-03-19 10:10:00,-1.1,-55.00000000000001,-7275.000000000004
BTCUSD,2026-03-19 10:10:00,-1.1,-55.00000000000001,-7330.000000000004
CADCHF,2026-03-19 10:15:00,-1.1,-55.00000000000001,-7385.000000000004
BTCUSD,2026-03-19 10:15:00,-1.1,-55.00000000000001,-7440.000000000004
USDJPY,2026-03-19 10:15:00,-1.1,-55.00000000000001,-7495.000000000004
ETHUSD,2026-03-19 10:15:00,-1.1,-55.00000000000001,-7550.000000000004
SOLUSD,2026-03-19 10:20:00,1.4,70.0,-7480.000000000004
BTCUSD,2026-03-19 10:20:00,1.4,70.0,-7410.000000000004
ETHUSD,2026-03-19 10:20:00,1.4,70.0,-7340.000000000004
AUDJPY,2026-03-19 10:55:00,1.4,70.0,-7270.000000000004
CADCHF,2026-03-19 12:45:00,1.4,70.0,-7200.000000000004
GBPJPY,2026-03-19 12:50:00,1.4,70.0,-7130.000000000004
AUDNZD,2026-03-19 12:50:00,1.4,70.0,-7060.000000000004
AUDJPY,2026-03-19 12:50:00,1.4,70.0,-6990.000000000004
AUDUSD,2026-03-19 14:15:00,-1.1,-55.00000000000001,-7045.000000000004
AUDJPY,2026-03-19 14:15:00,-1.1,-55.00000000000001,-7100.000000000004
AUDUSD,2026-03-19 14:20:00,-1.1,-55.00000000000001,-7155.000000000004
EURGBP,2026-03-19 14:55:00,-1.1,-55.00000000000001,-7210.000000000004
GBPJPY,2026-03-19 15:05:00,1.4,70.0,-7140.000000000004
GBPUSD,2026-03-19 15:05:00,-1.1,-55.00000000000001,-7195.000000000004
EURGBP,2026-03-19 15:05:00,1.4,70.0,-7125.000000000004
GBPCAD,2026-03-19 15:05:00,1.4,70.0,-7055.000000000004
BTCUSD,2026-03-19 15:05:00,-1.1,-55.00000000000001,-7110.000000000004
AUDNZD,2026-03-19 15:25:00,-1.1,-55.00000000000001,-7165.000000000004
AUDUSD,2026-03-19 15:25:00,-1.1,-55.00000000000001,-7220.000000000004
ETHUSD,2026-03-19 15:50:00,-1.1,-55.00000000000001,-7275.000000000004
EURJPY,2026-03-19 16:30:00,1.4,70.0,-7205.000000000004
GBPJPY,2026-03-19 16:30:00,1.4,70.0,-7135.000000000004
GBPCAD,2026-03-19 16:50:00,-1.1,-55.00000000000001,-7190.000000000004
USDJPY,2026-03-19 16:50:00,1.4,70.0,-7120.000000000004
NZDUSD,2026-03-19 16:50:00,-1.1,-55.00000000000001,-7175.000000000004
GBPUSD,2026-03-19 16:50:00,-1.1,-55.00000000000001,-7230.000000000004
NZDUSD,2026-03-19 16:55:00,-1.1,-55.00000000000001,-7285.000000000004
GBPUSD,2026-03-19 16:55:00,-1.1,-55.00000000000001,-7340.000000000004
SOLUSD,2026-03-20 07:40:00,1.4,70.0,-7270.000000000004
AUDUSD,2026-03-20 07:50:00,-1.1,-55.00000000000001,-7325.000000000004
AUDNZD,2026-03-20 07:50:00,-1.1,-55.00000000000001,-7380.000000000004
AUDJPY,2026-03-20 07:50:00,-1.1,-55.00000000000001,-7435.000000000004
USDCAD,2026-03-20 08:45:00,1.4,70.0,-7365.000000000004
USDCAD,2026-03-20 08:50:00,1.4,70.0,-7295.000000000004
GBPCAD,2026-03-20 09:05:00,-1.1,-55.00000000000001,-7350.000000000004
EURJPY,2026-03-20 09:30:00,-1.1,-55.00000000000001,-7405.000000000004
EURGBP,2026-03-20 09:30:00,1.4,70.0,-7335.000000000004
ETHUSD,2026-03-20 10:00:00,1.4,70.0,-7265.000000000004
EURUSD,2026-03-20 10:05:00,-1.1,-55.00000000000001,-7320.000000000004
GBPJPY,2026-03-20 10:15:00,-1.1,-55.00000000000001,-7375.000000000004
SOLUSD,2026-03-20 11:05:00,1.4,70.0,-7305.000000000004
ETHUSD,2026-03-20 11:05:00,1.4,70.0,-7235.000000000004
GBPCAD,2026-03-20 12:00:00,-1.1,-55.00000000000001,-7290.000000000004
BTCUSD,2026-03-20 12:20:00,1.4,70.0,-7220.000000000004
SOLUSD,2026-03-20 12:20:00,1.4,70.0,-7150.000000000004
AUDNZD,2026-03-20 12:30:00,-1.1,-55.00000000000001,-7205.000000000004
AUDUSD,2026-03-20 12:50:00,-1.1,-55.00000000000001,-7260.000000000004
AUDJPY,2026-03-20 13:05:00,1.4,70.0,-7190.000000000004
GBPJPY,2026-03-20 13:05:00,-1.1,-55.00000000000001,-7245.000000000004
USDCAD,2026-03-20 15:05:00,1.4,70.0,-7175.000000000004
NZDUSD,2026-03-20 16:05:00,-1.1,-55.00000000000001,-7230.000000000004
GBPCAD,2026-03-20 16:05:00,-1.1,-55.00000000000001,-7285.000000000004
GBPCAD,2026-03-20 16:10:00,-1.1,-55.00000000000001,-7340.000000000004
BTCUSD,2026-03-20 16:30:00,-1.1,-55.00000000000001,-7395.000000000004
GBPUSD,2026-03-20 17:10:00,-1.1,-55.00000000000001,-7450.000000000004
GBPJPY,2026-03-20 17:25:00,1.4,70.0,-7380.000000000004
ETHUSD,2026-03-21 10:15:00,1.4,70.0,-7310.000000000004
BTCUSD,2026-03-21 11:25:00,1.4,70.0,-7240.000000000004
ETHUSD,2026-03-21 11:25:00,1.4,70.0,-7170.000000000004
BTCUSD,2026-03-21 15:00:00,-1.1,-55.00000000000001,-7225.000000000004
ETHUSD,2026-03-21 15:00:00,1.4,70.0,-7155.000000000004
ETHUSD,2026-03-21 17:10:00,1.4,70.0,-7085.000000000004
BTCUSD,2026-03-21 17:10:00,1.4,70.0,-7015.000000000004
BTCUSD,2026-03-21 17:15:00,1.4,70.0,-6945.000000000004
ETHUSD,2026-03-22 10:35:00,-1.1,-55.00000000000001,-7000.000000000004
BTCUSD,2026-03-22 10:35:00,-1.1,-55.00000000000001,-7055.000000000004
BTCUSD,2026-03-22 10:40:00,-1.1,-55.00000000000001,-7110.000000000004
ETHUSD,2026-03-22 10:40:00,-1.1,-55.00000000000001,-7165.000000000004
ETHUSD,2026-03-22 10:55:00,-1.1,-55.00000000000001,-7220.000000000004
ETHUSD,2026-03-22 11:00:00,-1.1,-55.00000000000001,-7275.000000000004
SOLUSD,2026-03-22 11:00:00,-1.1,-55.00000000000001,-7330.000000000004
SOLUSD,2026-03-22 11:05:00,-1.1,-55.00000000000001,-7385.000000000004
BTCUSD,2026-03-22 11:25:00,-1.1,-55.00000000000001,-7440.000000000004
BTCUSD,2026-03-22 14:25:00,-1.1,-55.00000000000001,-7495.000000000004
SOLUSD,2026-03-22 14:55:00,1.4,70.0,-7425.000000000004
GBPJPY,2026-03-23 06:35:00,-1.1,-55.00000000000001,-7480.000000000004
BTCUSD,2026-03-23 07:55:00,-1.1,-55.00000000000001,-7535.000000000004
BTCUSD,2026-03-23 08:00:00,1.4,70.0,-7465.000000000004
SOLUSD,2026-03-23 08:00:00,1.4,70.0,-7395.000000000004
USDCAD,2026-03-23 08:15:00,-1.1,-55.00000000000001,-7450.000000000004
AUDUSD,2026-03-23 08:15:00,-1.1,-55.00000000000001,-7505.000000000004
EURUSD,2026-03-23 08:20:00,-1.1,-55.00000000000001,-7560.000000000004
NZDUSD,2026-03-23 08:20:00,-1.1,-55.00000000000001,-7615.000000000004
AUDUSD,2026-03-23 08:20:00,-1.1,-55.00000000000001,-7670.000000000004
USDCAD,2026-03-23 08:20:00,-1.1,-55.00000000000001,-7725.000000000004
AUDJPY,2026-03-23 08:20:00,-1.1,-55.00000000000001,-7780.000000000004
USDCAD,2026-03-23 08:25:00,-1.1,-55.00000000000001,-7835.000000000004
AUDUSD,2026-03-23 08:25:00,-1.1,-55.00000000000001,-7890.000000000004
GBPUSD,2026-03-23 08:30:00,-1.1,-55.00000000000001,-7945.000000000004
EURUSD,2026-03-23 08:30:00,-1.1,-55.00000000000001,-8000.000000000004
NZDUSD,2026-03-23 08:30:00,-1.1,-55.00000000000001,-8055.000000000004
GBPJPY,2026-03-23 09:05:00,-1.1,-55.00000000000001,-8110.000000000004
EURJPY,2026-03-23 09:05:00,1.4,70.0,-8040.000000000004
SOLUSD,2026-03-23 09:35:00,-1.1,-55.00000000000001,-8095.000000000004
BTCUSD,2026-03-23 09:35:00,-1.1,-55.00000000000001,-8150.000000000004
ETHUSD,2026-03-23 09:35:00,-1.1,-55.00000000000001,-8205.000000000004
BTCUSD,2026-03-23 09:40:00,1.4,70.0,-8135.000000000004
SOLUSD,2026-03-23 09:40:00,-1.1,-55.00000000000001,-8190.000000000004
ETHUSD,2026-03-23 09:40:00,1.4,70.0,-8120.000000000004
BTCUSD,2026-03-23 09:45:00,1.4,70.0,-8050.000000000004
EURGBP,2026-03-23 11:10:00,-1.1,-55.00000000000001,-8105.000000000004
AUDNZD,2026-03-23 11:10:00,1.4,70.0,-8035.000000000004
EURGBP,2026-03-23 11:15:00,-1.1,-55.00000000000001,-8090.000000000004
GBPCAD,2026-03-23 11:20:00,1.4,70.0,-8020.000000000004
NZDUSD,2026-03-23 11:30:00,1.4,70.0,-7950.000000000004
NZDUSD,2026-03-23 14:05:00,1.4,70.0,-7880.000000000004
AUDUSD,2026-03-23 14:05:00,1.4,70.0,-7810.000000000004
BTCUSD,2026-03-23 14:05:00,1.4,70.0,-7740.000000000004
EURUSD,2026-03-23 14:05:00,1.4,70.0,-7670.000000000004
