time,pnl_r,type,symbol,regime,dollar_pnl,balance,dd
2025-12-04 09:05:00,-1.0,SNIPER,GBPCAD,UNKNOWN,-48.5,8063.125,-28.800856531049252
2025-12-04 09:20:00,1.5,SNIPER,USDCAD,UNKNOWN,72.75,8135.875,-28.15845824411135
2025-12-04 09:30:00,-1.0,SNIPER,AUDUSD,UNKNOWN,-48.5,8087.375,-28.586723768736615
2025-12-04 09:30:00,-1.0,SNIPER,NZDUSD,UNKNOWN,-48.5,8038.875,-29.014989293361886
2025-12-04 09:45:00,-1.0,SNIPER,AUDJPY,UNKNOWN,-48.5,7990.375,-29.443254817987153
2025-12-04 10:55:00,-1.0,SNIPER,USDJPY,UNKNOWN,-48.5,7941.875,-29.871520342612417
2025-12-04 10:55:00,-1.0,SNIPER,GBPUSD,UNKNOWN,-48.5,7893.375,-30.299785867237688
2025-12-04 11:20:00,1.5,SNIPER,EURJPY,UNKNOWN,72.75,7966.125,-29.657387580299787
2025-12-04 11:25:00,1.5,SNIPER,AUDNZD,UNKNOWN,72.75,8038.875,-29.014989293361886
2025-12-04 11:25:00,-1.0,SNIPER,USDCAD,UNKNOWN,-48.5,7990.375,-29.443254817987153
2025-12-04 11:35:00,-1.0,SNIPER,CADCHF,UNKNOWN,-48.5,7941.875,-29.871520342612417
2025-12-04 11:40:00,1.5,SNIPER,EURUSD,UNKNOWN,72.75,8014.625,-29.229122055674516
2025-12-04 11:40:00,1.5,SNIPER,NZDUSD,UNKNOWN,72.75,8087.375,-28.586723768736615
2025-12-04 11:50:00,1.5,SNIPER,AUDJPY,UNKNOWN,72.75,8160.125,-27.944325481798714
2025-12-04 11:55:00,1.5,SNIPER,EURGBP,UNKNOWN,72.75,8232.875,-27.301927194860813
2025-12-04 12:00:00,1.5,SNIPER,GBPCAD,UNKNOWN,72.75,8305.625,-26.659528907922912
2025-12-04 12:25:00,-1.0,CHAMPION,EURGBP,UNKNOWN,-121.25,8184.375,-27.73019271948608
2025-12-04 12:25:00,-1.0,SNIPER,GBPJPY,UNKNOWN,-48.5,8135.875,-28.15845824411135
2025-12-04 13:30:00,-1.0,SNIPER,AUDUSD,UNKNOWN,-48.5,8087.375,-28.586723768736615
2025-12-04 13:40:00,-1.0,SNIPER,EURJPY,UNKNOWN,-48.5,8038.875,-29.014989293361886
2025-12-04 14:00:00,-1.0,SNIPER,NZDUSD,UNKNOWN,-48.5,7990.375,-29.443254817987153
2025-12-04 14:00:00,-1.0,SNIPER,AUDNZD,UNKNOWN,-48.5,7941.875,-29.871520342612417
2025-12-04 14:00:00,-1.0,SNIPER,EURGBP,UNKNOWN,-48.5,7893.375,-30.299785867237688
2025-12-04 14:00:00,1.5,SNIPER,GBPUSD,UNKNOWN,72.75,7966.125,-29.657387580299787
2025-12-04 14:05:00,-1.0,SNIPER,USDCAD,UNKNOWN,-48.5,7917.625,-30.085653104925054
2025-12-04 14:05:00,1.5,SNIPER,CADCHF,UNKNOWN,72.75,7990.375,-29.443254817987153
2025-12-04 14:15:00,-1.0,SNIPER,GBPCAD,UNKNOWN,-48.5,7941.875,-29.871520342612417
2025-12-04 14:20:00,1.5,SNIPER,AUDJPY,UNKNOWN,72.75,8014.625,-29.229122055674516
2025-12-04 14:20:00,1.5,SNIPER,EURUSD,UNKNOWN,72.75,8087.375,-28.586723768736615
2025-12-04 14:30:00,1.5,SNIPER,USDJPY,UNKNOWN,72.75,8160.125,-27.944325481798714
2025-12-04 14:40:00,1.5,SNIPER,GBPJPY,UNKNOWN,72.75,8232.875,-27.301927194860813
2025-12-04 15:45:00,-1.0,SNIPER,EURJPY,UNKNOWN,-48.5,8184.375,-27.73019271948608
2025-12-04 16:10:00,-1.0,SNIPER,CADCHF,UNKNOWN,-48.5,8135.875,-28.15845824411135
2025-12-04 16:40:00,1.5,SNIPER,NZDUSD,UNKNOWN,72.75,8208.625,-27.51605995717345
2025-12-04 16:40:00,-1.0,SNIPER,AUDUSD,UNKNOWN,-48.5,8160.125,-27.944325481798714
2025-12-04 16:40:00,-1.0,SNIPER,EURUSD,UNKNOWN,-48.5,8111.625,-28.37259100642398
2025-12-04 16:40:00,-1.0,SNIPER,USDJPY,UNKNOWN,-48.5,8063.125,-28.800856531049252
2025-12-04 16:45:00,1.5,SNIPER,AUDNZD,UNKNOWN,72.75,8135.875,-28.15845824411135
2025-12-04 16:45:00,1.5,SNIPER,AUDJPY,UNKNOWN,72.75,8208.625,-27.51605995717345
2025-12-04 17:00:00,1.5,SNIPER,GBPCAD,UNKNOWN,72.75,8281.375,-26.873661670235542
2025-12-04 17:05:00,-1.0,SNIPER,GBPUSD,UNKNOWN,-48.5,8232.875,-27.301927194860813
2025-12-04 17:40:00,1.5,SNIPER,GBPJPY,UNKNOWN,72.75,8305.625,-26.659528907922912
2025-12-04 17:50:00,1.5,SNIPER,EURGBP,UNKNOWN,72.75,8378.375,-26.017130620985014
2025-12-05 06:00:00,1.5,SNIPER,EURUSD,UNKNOWN,72.75,8451.125,-25.374732334047106
2025-12-05 06:00:00,1.5,SNIPER,USDCAD,UNKNOWN,72.75,8523.875,-24.73233404710921
2025-12-05 06:00:00,1.5,SNIPER,GBPUSD,UNKNOWN,72.75,8596.625,-24.089935760171304
2025-12-05 06:00:00,1.5,SNIPER,NZDUSD,UNKNOWN,72.75,8669.375,-23.447537473233403
2025-12-05 06:05:00,1.5,SNIPER,GBPCAD,UNKNOWN,72.75,8742.125,-22.805139186295502
2025-12-05 06:05:00,-1.0,SNIPER,AUDNZD,UNKNOWN,-48.5,8693.625,-23.233404710920773
2025-12-05 06:05:00,1.5,SNIPER,USDJPY,UNKNOWN,72.75,8766.375,-22.591006423982872
2025-12-05 06:15:00,1.5,SNIPER,EURGBP,UNKNOWN,72.75,8839.125,-21.948608137044967
2025-12-05 08:00:00,-1.0,SNIPER,CADCHF,UNKNOWN,-48.5,8790.625,-22.376873661670235
2025-12-05 08:10:00,-1.0,SNIPER,AUDJPY,UNKNOWN,-48.5,8742.125,-22.805139186295502
2025-12-05 08:10:00,-1.0,SNIPER,GBPJPY,UNKNOWN,-48.5,8693.625,-23.233404710920773
2025-12-05 08:20:00,-1.0,SNIPER,AUDUSD,UNKNOWN,-48.5,8645.125,-23.66167023554604
2025-12-05 08:20:00,-1.0,SNIPER,EURUSD,UNKNOWN,-48.5,8596.625,-24.089935760171304
2025-12-05 08:20:00,1.5,SNIPER,AUDNZD,UNKNOWN,72.75,8669.375,-23.447537473233403
2025-12-05 08:25:00,-1.0,SNIPER,USDCAD,UNKNOWN,-48.5,8620.875,-23.87580299785867
2025-12-05 09:00:00,-1.0,SNIPER,USDJPY,UNKNOWN,-48.5,8572.375,-24.30406852248394
2025-12-05 09:00:00,-1.0,SNIPER,EURJPY,UNKNOWN,-48.5,8523.875,-24.73233404710921
2025-12-05 09:10:00,-1.0,SNIPER,EURGBP,UNKNOWN,-48.5,8475.375,-25.160599571734476
2025-12-05 09:45:00,-1.0,SNIPER,GBPUSD,UNKNOWN,-48.5,8426.875,-25.588865096359743
2025-12-05 09:45:00,-1.0,SNIPER,GBPCAD,UNKNOWN,-48.5,8378.375,-26.017130620985014
2025-12-05 09:55:00,-1.0,SNIPER,NZDUSD,UNKNOWN,-48.5,8329.875,-26.445396145610278
2025-12-05 11:15:00,-1.0,SNIPER,CADCHF,UNKNOWN,-48.5,8281.375,-26.873661670235542
2025-12-05 11:30:00,-1.0,SNIPER,AUDNZD,UNKNOWN,-48.5,8232.875,-27.301927194860813
2025-12-05 11:40:00,1.5,SNIPER,EURGBP,UNKNOWN,72.75,8305.625,-26.659528907922912
2025-12-05 11:45:00,-1.0,SNIPER,GBPJPY,UNKNOWN,-48.5,8257.125,-27.08779443254818
2025-12-05 11:55:00,-1.0,SNIPER,EURUSD,UNKNOWN,-48.5,8208.625,-27.51605995717345
2025-12-05 12:00:00,-1.0,SNIPER,USDJPY,UNKNOWN,-48.5,8160.125,-27.944325481798714
2025-12-05 12:15:00,-1.0,SNIPER,NZDUSD,UNKNOWN,-48.5,8111.625,-28.37259100642398
2025-12-05 13:25:00,1.5,SNIPER,AUDUSD,UNKNOWN,72.75,8184.375,-27.73019271948608
2025-12-05 13:35:00,-1.0,SNIPER,AUDJPY,UNKNOWN,-48.5,8135.875,-28.15845824411135
2025-12-05 13:45:00,-1.0,SNIPER,EURJPY,UNKNOWN,-48.5,8087.375,-28.586723768736615
2025-12-05 13:45:00,-1.0,SNIPER,AUDNZD,UNKNOWN,-48.5,8038.875,-29.014989293361886
2025-12-05 13:45:00,1.5,SNIPER,GBPUSD,UNKNOWN,72.75,8111.625,-28.37259100642398
2025-12-05 14:00:00,-1.0,SNIPER,EURUSD,UNKNOWN,-48.5,8063.125,-28.800856531049252
2025-12-05 14:15:00,-1.0,SNIPER,USDJPY,UNKNOWN,-48.5,8014.625,-29.229122055674516
2025-12-05 15:20:00,-1.0,SNIPER,CADCHF,UNKNOWN,-48.5,7966.125,-29.657387580299787
2025-12-05 15:25:00,-1.0,SNIPER,USDCAD,UNKNOWN,-48.5,7917.625,-30.085653104925054
2025-12-05 15:45:00,-1.0,SNIPER,AUDJPY,UNKNOWN,-48.5,7869.125,-30.513918629550325
2025-12-05 16:20:00,-1.0,SNIPER,GBPJPY,UNKNOWN,-48.5,7820.625,-30.94218415417559
2025-12-05 16:20:00,-1.0,SNIPER,AUDUSD,UNKNOWN,-48.5,7772.125,-31.370449678800856
2025-12-05 16:25:00,-1.0,SNIPER,NZDUSD,UNKNOWN,-48.5,7723.625,-31.798715203426127
2025-12-05 16:30:00,-1.0,SNIPER,GBPUSD,UNKNOWN,-48.5,7675.125,-32.22698072805139
2025-12-05 16:30:00,-1.0,SNIPER,EURUSD,UNKNOWN,-48.5,7626.625,-32.65524625267666
2025-12-05 16:40:00,-1.0,SNIPER,EURGBP,UNKNOWN,-48.5,7578.125,-33.08351177730193
2025-12-08 06:00:00,-1.0,SNIPER,AUDJPY,UNKNOWN,-48.5,7529.625,-33.51177730192719
2025-12-08 06:00:00,-1.0,SNIPER,CADCHF,UNKNOWN,-48.5,7481.125,-33.940042826552464
2025-12-08 06:10:00,-1.0,SNIPER,NZDUSD,UNKNOWN,-48.5,7432.625,-34.36830835117773
2025-12-08 06:20:00,-1.0,SNIPER,USDCAD,UNKNOWN,-48.5,7384.125,-34.796573875803
2025-12-08 06:40:00,-1.0,SNIPER,USDJPY,UNKNOWN,-48.5,7335.625,-35.224839400428266
2025-12-08 07:05:00,-1.0,SNIPER,AUDNZD,UNKNOWN,-48.5,7287.125,-35.65310492505353
2025-12-08 07:30:00,1.5,SNIPER,AUDUSD,UNKNOWN,72.75,7359.875,-35.01070663811563
2025-12-08 07:45:00,-1.0,SNIPER,GBPUSD,UNKNOWN,-48.5,7311.375,-35.4389721627409
2025-12-08 07:50:00,-1.0,CHAMPION,EURGBP,UNKNOWN,-121.25,7190.125,-36.50963597430407
2025-12-08 08:05:00,-1.0,SNIPER,GBPJPY,UNKNOWN,-48.5,7141.625,-36.937901498929335
2025-12-08 08:20:00,1.5,SNIPER,NZDUSD,UNKNOWN,72.75,7214.375,-36.29550321199144
2025-12-08 08:30:00,-1.0,SNIPER,USDCAD,UNKNOWN,-48.5,7165.875,-36.723768736616705
2025-12-08 08:40:00,1.5,SNIPER,AUDJPY,UNKNOWN,72.75,7238.625,-36.0813704496788
2025-12-08 08:45:00,-1.0,SNIPER,EURUSD,UNKNOWN,-48.5,7190.125,-36.50963597430407
2025-12-08 09:05:00,-1.0,SNIPER,CADCHF,UNKNOWN,-48.5,7141.625,-36.937901498929335
2025-12-08 09:35:00,-1.0,SNIPER,GBPCAD,UNKNOWN,-48.5,7093.125,-37.3661670235546
2025-12-08 09:35:00,-1.0,SNIPER,EURJPY,UNKNOWN,-48.5,7044.625,-37.79443254817988
2025-12-08 09:35:00,1.5,SNIPER,EURGBP,UNKNOWN,72.75,7117.375,-37.152034261241965
2025-12-08 10:00:00,-1.0,SNIPER,GBPUSD,UNKNOWN,-48.5,7068.875,-37.58029978586724
2025-12-08 10:50:00,-1.0,SNIPER,AUDUSD,UNKNOWN,-48.5,7020.375,-38.0085653104925
2025-12-08 10:55:00,-1.0,SNIPER,EURUSD,UNKNOWN,-48.5,6971.875,-38.436830835117775
2025-12-08 11:10:00,-1.0,SNIPER,CADCHF,UNKNOWN,-48.5,6923.375,-38.86509635974304
2025-12-08 11:15:00,-1.0,SNIPER,AUDNZD,UNKNOWN,-48.5,6874.875,-39.29336188436831
2025-12-08 11:25:00,-1.0,SNIPER,GBPJPY,UNKNOWN,-48.5,6826.375,-39.72162740899358
2025-12-08 11:30:00,-1.0,SNIPER,USDJPY,UNKNOWN,-48.5,6777.875,-40.149892933618844
2025-12-08 11:45:00,-1.0,SNIPER,EURJPY,UNKNOWN,-48.5,6729.375,-40.57815845824411
2025-12-08 11:50:00,-1.0,SNIPER,AUDJPY,UNKNOWN,-48.5,6680.875,-41.00642398286938
2025-12-08 12:00:00,1.5,SNIPER,NZDUSD,UNKNOWN,72.75,6753.625,-40.364025695931474
2025-12-08 12:00:00,-1.0,SNIPER,GBPCAD,UNKNOWN,-48.5,6705.125,-40.79229122055675
2025-12-08 12:00:00,1.5,SNIPER,EURGBP,UNKNOWN,72.75,6777.875,-40.149892933618844
2025-12-08 12:05:00,-1.0,SNIPER,GBPUSD,UNKNOWN,-48.5,6729.375,-40.57815845824411
2025-12-08 13:30:00,-1.0,SNIPER,GBPJPY,UNKNOWN,-48.5,6680.875,-41.00642398286938
2025-12-08 13:50:00,-1.0,SNIPER,EURUSD,UNKNOWN,-48.5,6632.375,-41.434689507494646
2025-12-08 14:00:00,-1.0,SNIPER,AUDUSD,UNKNOWN,-48.5,6583.875,-41.86295503211991
2025-12-08 14:25:00,1.5,SNIPER,EURGBP,UNKNOWN,72.75,6656.625,-41.220556745182016
2025-12-08 14:35:00,1.5,SNIPER,GBPUSD,UNKNOWN,72.75,6729.375,-40.57815845824411
2025-12-08 14:40:00,1.5,SNIPER,AUDNZD,UNKNOWN,72.75,6802.125,-39.935760171306214
2025-12-08 14:40:00,1.5,SNIPER,NZDUSD,UNKNOWN,72.75,6874.875,-39.29336188436831
2025-12-08 14:50:00,-1.0,SNIPER,USDJPY,UNKNOWN,-48.5,6826.375,-39.72162740899358
2025-12-08 14:55:00,1.5,SNIPER,EURJPY,UNKNOWN,72.75,6899.125,-39.07922912205567
2025-12-08 15:05:00,-1.0,SNIPER,GBPCAD,UNKNOWN,-48.5,6850.625,-39.50749464668094
2025-12-08 15:35:00,-1.0,SNIPER,USDCAD,UNKNOWN,-48.5,6802.125,-39.935760171306214
2025-12-08 15:35:00,-1.0,SNIPER,GBPJPY,UNKNOWN,-48.5,6753.625,-40.364025695931474
2025-12-08 15:50:00,1.5,SNIPER,AUDJPY,UNKNOWN,72.75,6826.375,-39.72162740899358
2025-12-08 16:20:00,-1.0,SNIPER,AUDUSD,UNKNOWN,-48.5,6777.875,-40.149892933618844
2025-12-08 17:15:00,-1.0,SNIPER,GBPCAD,UNKNOWN,-48.5,6729.375,-40.57815845824411
2025-12-08 17:50:00,1.5,SNIPER,CADCHF,UNKNOWN,72.75,6802.125,-39.935760171306214
2025-12-08 17:55:00,-1.0,SNIPER,GBPJPY,UNKNOWN,-48.5,6753.625,-40.364025695931474
2025-12-09 06:00:00,1.5,SNIPER,AUDJPY,UNKNOWN,72.75,6826.375,-39.72162740899358
2025-12-09 06:05:00,1.5,SNIPER,AUDNZD,UNKNOWN,72.75,6899.125,-39.07922912205567
2025-12-09 06:10:00,1.5,SNIPER,USDJPY,UNKNOWN,72.75,6971.875,-38.436830835117775
2025-12-09 06:10:00,-1.0,SNIPER,EURGBP,UNKNOWN,-48.5,6923.375,-38.86509635974304
2025-12-09 06:10:00,1.5,SNIPER,EURJPY,UNKNOWN,72.75,6996.125,-38.22269807280514
2025-12-09 06:15:00,1.5,SNIPER,GBPJPY,UNKNOWN,72.75,7068.875,-37.58029978586724
2025-12-09 06:50:00,-1.0,SNIPER,GBPCAD,UNKNOWN,-48.5,7020.375,-38.0085653104925
2025-12-09 07:05:00,1.5,SNIPER,CADCHF,UNKNOWN,72.75,7093.125,-37.3661670235546
2025-12-09 07:20:00,-1.0,SNIPER,NZDUSD,UNKNOWN,-48.5,7044.625,-37.79443254817988
2025-12-09 07:55:00,1.5,SNIPER,AUDUSD,UNKNOWN,72.75,7117.375,-37.152034261241965
2025-12-09 08:00:00,-1.0,SNIPER,EURUSD,UNKNOWN,-48.5,7068.875,-37.58029978586724
2025-12-09 08:00:00,-1.0,SNIPER,GBPUSD,UNKNOWN,-48.5,7020.375,-38.0085653104925
2025-12-09 08:05:00,-1.0,SNIPER,AUDJPY,UNKNOWN,-48.5,6971.875,-38.436830835117775
2025-12-09 08:40:00,-1.0,SNIPER,EURJPY,UNKNOWN,-48.5,6923.375,-38.86509635974304
2025-12-09 08:45:00,-1.0,SNIPER,GBPJPY,UNKNOWN,-48.5,6874.875,-39.29336188436831
2025-12-09 08:45:00,-1.0,SNIPER,USDJPY,UNKNOWN,-48.5,6826.375,-39.72162740899358
