time,pnl_r,type,symbol,regime,dollar_pnl,balance,dd
2026-03-04 12:15:00,-1.0,SNIPER,SOLUSD,TRENDING,-48.5,15338.125,-10.978184377199156
2026-03-04 12:20:00,-1.0,SNIPER,BTCUSD,TRENDING,-48.5,15289.625,-11.259676284306826
2026-03-04 12:30:00,2.0,SNIPER,AUDUSD,TRENDING,97.0,15386.625,-10.696692470091484
2026-03-04 12:30:00,-1.0,SNIPER,ETHUSD,TRENDING,-48.5,15338.125,-10.978184377199156
2026-03-04 12:30:00,2.0,SNIPER,NZDUSD,TRENDING,97.0,15435.125,-10.415200562983815
2026-03-04 12:30:00,-1.0,SNIPER,USDJPY,TRENDING,-48.5,15386.625,-10.696692470091484
2026-03-04 12:30:00,2.0,SNIPER,USDCAD,TRENDING,97.0,15483.625,-10.133708655876143
2026-03-04 12:35:00,2.0,SNIPER,AUDJPY,TRENDING,97.0,15580.625,-9.570724841660802
2026-03-04 12:50:00,-1.0,SNIPER,GBPUSD,TRENDING,-48.5,15532.125,-9.852216748768473
2026-03-04 13:30:00,-1.0,SNIPER,GBPJPY,TRENDING,-48.5,15483.625,-10.133708655876143
2026-03-04 13:30:00,-1.0,SNIPER,EURJPY,TRENDING,-48.5,15435.125,-10.415200562983815
2026-03-04 13:40:00,-1.0,SNIPER,GBPCAD,TRENDING,-48.5,15386.625,-10.696692470091484
2026-03-04 13:45:00,-1.0,SNIPER,EURGBP,TRENDING,-48.5,15338.125,-10.978184377199156
2026-03-04 14:20:00,-1.0,SNIPER,AUDNZD,TRENDING,-48.5,15289.625,-11.259676284306826
2026-03-04 14:25:00,2.0,SNIPER,EURUSD,TRENDING,97.0,15386.625,-10.696692470091484
2026-03-04 15:25:00,-1.0,SNIPER,GBPUSD,TRENDING,-48.5,15338.125,-10.978184377199156
2026-03-04 15:35:00,-1.0,SNIPER,EURJPY,TRENDING,-48.5,15289.625,-11.259676284306826
2026-03-04 15:45:00,-1.0,SNIPER,EURGBP,TRENDING,-48.5,15241.125,-11.541168191414497
2026-03-04 15:55:00,2.0,SNIPER,CADCHF,TRENDING,97.0,15338.125,-10.978184377199156
2026-03-04 16:25:00,-1.0,SNIPER,AUDNZD,TRENDING,-48.5,15289.625,-11.259676284306826
2026-03-04 16:40:00,2.0,SNIPER,BTCUSD,TRENDING,97.0,15386.625,-10.696692470091484
2026-03-04 16:40:00,-1.0,SNIPER,USDCAD,TRENDING,-48.5,15338.125,-10.978184377199156
2026-03-04 16:40:00,2.0,SNIPER,SOLUSD,TRENDING,97.0,15435.125,-10.415200562983815
2026-03-04 16:45:00,-1.0,SNIPER,GBPCAD,TRENDING,-48.5,15386.625,-10.696692470091484
2026-03-04 16:45:00,-1.0,SNIPER,GBPJPY,TRENDING,-48.5,15338.125,-10.978184377199156
2026-03-04 17:45:00,-1.0,SNIPER,EURGBP,TRENDING,-48.5,15289.625,-11.259676284306826
2026-03-05 06:00:00,-1.0,SNIPER,EURJPY,TRENDING,-48.5,15241.125,-11.541168191414497
2026-03-05 06:05:00,2.0,SNIPER,GBPJPY,TRENDING,97.0,15338.125,-10.978184377199156
2026-03-05 06:20:00,2.0,SNIPER,AUDUSD,TRENDING,97.0,15435.125,-10.415200562983815
2026-03-05 06:25:00,-1.0,SNIPER,AUDNZD,TRENDING,-48.5,15386.625,-10.696692470091484
2026-03-05 06:30:00,-1.0,SNIPER,USDCAD,TRENDING,-48.5,15338.125,-10.978184377199156
2026-03-05 06:50:00,2.0,SNIPER,EURGBP,TRENDING,97.0,15435.125,-10.415200562983815
2026-03-05 06:55:00,2.0,SNIPER,AUDJPY,TRENDING,97.0,15532.125,-9.852216748768473
2026-03-05 07:05:00,2.0,SNIPER,GBPUSD,TRENDING,97.0,15629.125,-9.289232934553132
2026-03-05 07:10:00,2.0,SNIPER,EURUSD,TRENDING,97.0,15726.125,-8.72624912033779
2026-03-05 07:10:00,2.0,SNIPER,CADCHF,TRENDING,97.0,15823.125,-8.16326530612245
2026-03-05 07:15:00,-1.0,SNIPER,BTCUSD,TRENDING,-48.5,15774.625,-8.444757213230119
2026-03-05 07:15:00,2.0,SNIPER,GBPCAD,TRENDING,97.0,15871.625,-7.8817733990147785
2026-03-05 07:20:00,-1.0,SNIPER,ETHUSD,TRENDING,-48.5,15823.125,-8.16326530612245
2026-03-05 07:20:00,-1.0,SNIPER,USDJPY,TRENDING,-48.5,15774.625,-8.444757213230119
2026-03-05 07:45:00,-1.0,CHAMPION,AUDUSD,CALM_RANGE,-121.25,15653.375,-9.148486980999296
2026-03-05 08:25:00,-1.0,SNIPER,GBPJPY,TRENDING,-48.5,15604.875,-9.429978888106968
2026-03-05 08:30:00,-1.0,SNIPER,NZDUSD,TRENDING,-48.5,15556.375,-9.711470795214638
2026-03-05 08:35:00,-1.0,SNIPER,USDCAD,TRENDING,-48.5,15507.875,-9.992962702322309
2026-03-05 08:45:00,2.0,SNIPER,AUDUSD,TRENDING,97.0,15604.875,-9.429978888106968
2026-03-05 08:55:00,-1.0,SNIPER,EURJPY,TRENDING,-48.5,15556.375,-9.711470795214638
