symbol,time,pnl_r,dollar_pnl,balance
BTCUSD,2026-02-11 16:10:00,2.4,120.0,4124.999999999999
SOLUSD,2026-02-11 16:10:00,2.4,120.0,4244.999999999999
USDCAD,2026-02-11 17:15:00,2.4,120.0,4364.999999999999
GBPCAD,2026-02-11 17:15:00,2.4,120.0,4484.999999999999
SOLUSD,2026-02-12 06:05:00,2.4,120.0,4604.999999999999
NZDUSD,2026-02-12 06:40:00,-1.1,-55.00000000000001,4549.999999999999
AUDUSD,2026-02-12 06:40:00,-1.1,-55.00000000000001,4494.999999999999
AUDUSD,2026-02-12 06:45:00,-1.1,-55.00000000000001,4439.999999999999
NZDUSD,2026-02-12 06:45:00,-1.1,-55.00000000000001,4384.999999999999
SOLUSD,2026-02-12 07:10:00,2.4,120.0,4504.999999999999
SOLUSD,2026-02-12 07:15:00,2.4,120.0,4624.999999999999
ETHUSD,2026-02-12 07:15:00,2.4,120.0,4744.999999999999
EURGBP,2026-02-12 08:00:00,-1.1,-55.00000000000001,4689.999999999999
AUDUSD,2026-02-12 10:35:00,2.4,120.0,4809.999999999999
EURUSD,2026-02-12 11:00:00,2.4,120.0,4929.999999999999
SOLUSD,2026-02-12 11:25:00,-1.1,-55.00000000000001,4874.999999999999
CADCHF,2026-02-12 13:55:00,2.4,120.0,4994.999999999999
CADCHF,2026-02-12 14:40:00,-1.1,-55.00000000000001,4939.999999999999
NZDUSD,2026-02-12 14:50:00,2.4,120.0,5059.999999999999
USDCAD,2026-02-12 14:50:00,2.4,120.0,5179.999999999999
AUDJPY,2026-02-12 16:20:00,-1.1,-55.00000000000001,5124.999999999999
AUDJPY,2026-02-12 16:35:00,-1.1,-55.00000000000001,5069.999999999999
CADCHF,2026-02-12 16:45:00,-1.1,-55.00000000000001,5014.999999999999
SOLUSD,2026-02-12 17:05:00,-1.1,-55.00000000000001,4959.999999999999
ETHUSD,2026-02-12 17:05:00,-1.1,-55.00000000000001,4904.999999999999
EURUSD,2026-02-13 06:45:00,-1.1,-55.00000000000001,4849.999999999999
ETHUSD,2026-02-13 07:05:00,-1.1,-55.00000000000001,4794.999999999999
EURGBP,2026-02-13 07:05:00,2.4,120.0,4914.999999999999
ETHUSD,2026-02-13 07:10:00,-1.1,-55.00000000000001,4859.999999999999
EURGBP,2026-02-13 07:35:00,-1.1,-55.00000000000001,4804.999999999999
EURGBP,2026-02-13 07:40:00,-1.1,-55.00000000000001,4749.999999999999
GBPUSD,2026-02-13 07:45:00,-1.1,-55.00000000000001,4694.999999999999
AUDNZD,2026-02-13 08:35:00,-1.1,-55.00000000000001,4639.999999999999
CADCHF,2026-02-13 09:30:00,2.4,120.0,4759.999999999999
EURGBP,2026-02-13 09:40:00,-1.1,-55.00000000000001,4704.999999999999
GBPCAD,2026-02-13 09:40:00,2.4,120.0,4824.999999999999
AUDJPY,2026-02-13 10:00:00,-1.1,-55.00000000000001,4769.999999999999
EURJPY,2026-02-13 10:00:00,-1.1,-55.00000000000001,4714.999999999999
SOLUSD,2026-02-13 10:45:00,-1.1,-55.00000000000001,4659.999999999999
ETHUSD,2026-02-13 10:45:00,-1.1,-55.00000000000001,4604.999999999999
SOLUSD,2026-02-13 12:15:00,-1.1,-55.00000000000001,4549.999999999999
EURGBP,2026-02-13 12:15:00,2.4,120.0,4669.999999999999
CADCHF,2026-02-13 12:55:00,-1.1,-55.00000000000001,4614.999999999999
GBPJPY,2026-02-13 13:00:00,-1.1,-55.00000000000001,4559.999999999999
CADCHF,2026-02-13 13:00:00,-1.1,-55.00000000000001,4504.999999999999
GBPUSD,2026-02-13 13:05:00,-1.1,-55.00000000000001,4449.999999999999
EURJPY,2026-02-13 13:40:00,-1.1,-55.00000000000001,4394.999999999999
GBPCAD,2026-02-13 15:20:00,-1.1,-55.00000000000001,4339.999999999999
AUDNZD,2026-02-13 15:25:00,-1.1,-55.00000000000001,4284.999999999999
ETHUSD,2026-02-13 15:30:00,-1.1,-55.00000000000001,4229.999999999999
USDJPY,2026-02-13 15:30:00,-1.1,-55.00000000000001,4174.999999999999
BTCUSD,2026-02-13 15:30:00,2.4,120.0,4294.999999999999
EURUSD,2026-02-13 15:30:00,2.4,120.0,4414.999999999999
GBPUSD,2026-02-13 15:30:00,-1.1,-55.00000000000001,4359.999999999999
NZDUSD,2026-02-13 15:30:00,-1.1,-55.00000000000001,4304.999999999999
SOLUSD,2026-02-13 16:30:00,-1.1,-55.00000000000001,4249.999999999999
ETHUSD,2026-02-13 16:45:00,-1.1,-55.00000000000001,4194.999999999999
SOLUSD,2026-02-13 16:45:00,-1.1,-55.00000000000001,4139.999999999999
BTCUSD,2026-02-13 17:05:00,-1.1,-55.00000000000001,4084.999999999999
ETHUSD,2026-02-13 17:05:00,-1.1,-55.00000000000001,4029.999999999999
SOLUSD,2026-02-14 08:05:00,2.4,120.0,4149.999999999999
BTCUSD,2026-02-14 09:40:00,-1.1,-55.00000000000001,4094.999999999999
BTCUSD,2026-02-14 09:45:00,-1.1,-55.00000000000001,4039.999999999999
BTCUSD,2026-02-14 09:50:00,-1.1,-55.00000000000001,3984.999999999999
ETHUSD,2026-02-14 10:00:00,-1.1,-55.00000000000001,3929.999999999999
SOLUSD,2026-02-14 10:00:00,-1.1,-55.00000000000001,3874.999999999999
ETHUSD,2026-02-14 10:05:00,-1.1,-55.00000000000001,3819.999999999999
SOLUSD,2026-02-14 10:05:00,-1.1,-55.00000000000001,3764.999999999999
ETHUSD,2026-02-14 10:10:00,-1.1,-55.00000000000001,3709.999999999999
BTCUSD,2026-02-14 13:10:00,-1.1,-55.00000000000001,3654.999999999999
SOLUSD,2026-02-14 13:10:00,-1.1,-55.00000000000001,3599.999999999999
ETHUSD,2026-02-14 13:10:00,-1.1,-55.00000000000001,3544.999999999999
BTCUSD,2026-02-14 13:20:00,-1.1,-55.00000000000001,3489.999999999999
SOLUSD,2026-02-14 13:20:00,-1.1,-55.00000000000001,3434.999999999999
ETHUSD,2026-02-14 13:20:00,2.4,120.0,3554.999999999999
BTCUSD,2026-02-15 06:05:00,-1.1,-55.00000000000001,3499.999999999999
SOLUSD,2026-02-15 06:05:00,-1.1,-55.00000000000001,3444.999999999999
SOLUSD,2026-02-15 06:10:00,-1.1,-55.00000000000001,3389.999999999999
BTCUSD,2026-02-15 09:15:00,2.4,120.0,3509.999999999999
ETHUSD,2026-02-15 10:30:00,-1.1,-55.00000000000001,3454.999999999999
ETHUSD,2026-02-15 10:35:00,-1.1,-55.00000000000001,3399.999999999999
SOLUSD,2026-02-15 14:50:00,-1.1,-55.00000000000001,3344.999999999999
ETHUSD,2026-02-15 14:50:00,-1.1,-55.00000000000001,3289.999999999999
BTCUSD,2026-02-15 14:50:00,-1.1,-55.00000000000001,3234.999999999999
SOLUSD,2026-02-15 14:55:00,-1.1,-55.00000000000001,3179.999999999999
ETHUSD,2026-02-15 14:55:00,-1.1,-55.00000000000001,3124.999999999999
BTCUSD,2026-02-15 14:55:00,-1.1,-55.00000000000001,3069.999999999999
ETHUSD,2026-02-16 06:00:00,-1.1,-55.00000000000001,3014.999999999999
EURUSD,2026-02-16 06:35:00,2.4,120.0,3134.999999999999
GBPUSD,2026-02-16 06:35:00,2.4,120.0,3254.999999999999
EURUSD,2026-02-16 06:40:00,2.4,120.0,3374.999999999999
GBPJPY,2026-02-16 06:45:00,-1.1,-55.00000000000001,3319.999999999999
GBPJPY,2026-02-16 06:50:00,-1.1,-55.00000000000001,3264.999999999999
EURGBP,2026-02-16 06:55:00,-1.1,-55.00000000000001,3209.999999999999
AUDJPY,2026-02-16 06:55:00,-1.1,-55.00000000000001,3154.999999999999
GBPJPY,2026-02-16 06:55:00,-1.1,-55.00000000000001,3099.999999999999
USDJPY,2026-02-16 08:40:00,2.4,120.0,3219.999999999999
AUDUSD,2026-02-16 08:40:00,2.4,120.0,3339.999999999999
GBPUSD,2026-02-16 08:40:00,2.4,120.0,3459.999999999999
AUDUSD,2026-02-16 08:45:00,2.4,120.0,3579.999999999999
AUDNZD,2026-02-16 08:55:00,-1.1,-55.00000000000001,3524.999999999999
EURJPY,2026-02-16 09:15:00,-1.1,-55.00000000000001,3469.999999999999
CADCHF,2026-02-16 09:15:00,-1.1,-55.00000000000001,3414.999999999999
EURGBP,2026-02-16 09:40:00,-1.1,-55.00000000000001,3359.999999999999
BTCUSD,2026-02-16 11:00:00,2.4,120.0,3479.999999999999
ETHUSD,2026-02-16 11:00:00,2.4,120.0,3599.999999999999
EURJPY,2026-02-16 11:30:00,-1.1,-55.00000000000001,3544.999999999999
EURJPY,2026-02-16 11:35:00,-1.1,-55.00000000000001,3489.999999999999
EURGBP,2026-02-16 11:50:00,2.4,120.0,3609.999999999999
ETHUSD,2026-02-16 13:10:00,-1.1,-55.00000000000001,3554.999999999999
BTCUSD,2026-02-16 13:10:00,-1.1,-55.00000000000001,3499.999999999999
SOLUSD,2026-02-16 13:10:00,-1.1,-55.00000000000001,3444.999999999999
SOLUSD,2026-02-16 13:20:00,2.4,120.0,3564.999999999999
ETHUSD,2026-02-16 13:20:00,2.4,120.0,3684.999999999999
BTCUSD,2026-02-16 13:20:00,2.4,120.0,3804.999999999999
BTCUSD,2026-02-16 14:25:00,-1.1,-55.00000000000001,3749.999999999999
ETHUSD,2026-02-16 14:25:00,-1.1,-55.00000000000001,3694.999999999999
ETHUSD,2026-02-16 14:30:00,-1.1,-55.00000000000001,3639.999999999999
GBPUSD,2026-02-16 15:10:00,-1.1,-55.00000000000001,3584.999999999999
GBPUSD,2026-02-16 15:15:00,-1.1,-55.00000000000001,3529.999999999999
GBPJPY,2026-02-16 15:30:00,2.4,120.0,3649.999999999999
AUDNZD,2026-02-16 16:25:00,-1.1,-55.00000000000001,3594.999999999999
AUDJPY,2026-02-16 16:45:00,-1.1,-55.00000000000001,3539.999999999999
BTCUSD,2026-02-16 17:30:00,2.4,120.0,3659.999999999999
BTCUSD,2026-02-16 17:35:00,2.4,120.0,3779.999999999999
EURJPY,2026-02-17 07:15:00,-1.1,-55.00000000000001,3724.999999999999
GBPJPY,2026-02-17 07:15:00,-1.1,-55.00000000000001,3669.999999999999
BTCUSD,2026-02-17 07:20:00,2.4,120.0,3789.999999999999
CADCHF,2026-02-17 07:20:00,-1.1,-55.00000000000001,3734.999999999999
CADCHF,2026-02-17 07:25:00,-1.1,-55.00000000000001,3679.999999999999
SOLUSD,2026-02-17 07:30:00,2.4,120.0,3799.999999999999
GBPJPY,2026-02-17 09:00:00,-1.1,-55.00000000000001,3744.999999999999
GBPCAD,2026-02-17 09:00:00,-1.1,-55.00000000000001,3689.999999999999
GBPUSD,2026-02-17 09:00:00,-1.1,-55.00000000000001,3634.999999999999
EURGBP,2026-02-17 09:00:00,-1.1,-55.00000000000001,3579.999999999999
GBPUSD,2026-02-17 09:05:00,-1.1,-55.00000000000001,3524.999999999999
GBPCAD,2026-02-17 09:05:00,-1.1,-55.00000000000001,3469.999999999999
EURGBP,2026-02-17 09:05:00,-1.1,-55.00000000000001,3414.999999999999
GBPJPY,2026-02-17 09:05:00,-1.1,-55.00000000000001,3359.999999999999
USDCAD,2026-02-17 09:05:00,-1.1,-55.00000000000001,3304.999999999999
USDCAD,2026-02-17 09:10:00,-1.1,-55.00000000000001,3249.999999999999
GBPUSD,2026-02-17 09:10:00,-1.1,-55.00000000000001,3194.999999999999
EURGBP,2026-02-17 09:10:00,-1.1,-55.00000000000001,3139.999999999999
GBPJPY,2026-02-17 09:10:00,-1.1,-55.00000000000001,3084.999999999999
GBPUSD,2026-02-17 09:15:00,-1.1,-55.00000000000001,3029.999999999999
USDCAD,2026-02-17 09:15:00,2.4,120.0,3149.999999999999
GBPJPY,2026-02-17 09:15:00,2.4,120.0,3269.999999999999
AUDNZD,2026-02-17 09:35:00,-1.1,-55.00000000000001,3214.999999999999
AUDNZD,2026-02-17 09:40:00,2.4,120.0,3334.999999999999
BTCUSD,2026-02-17 12:15:00,2.4,120.0,3454.999999999999
ETHUSD,2026-02-17 12:15:00,2.4,120.0,3574.999999999999
SOLUSD,2026-02-17 12:15:00,-1.1,-55.00000000000001,3519.999999999999
SOLUSD,2026-02-17 12:25:00,-1.1,-55.00000000000001,3464.999999999999
CADCHF,2026-02-17 13:30:00,-1.1,-55.00000000000001,3409.999999999999
EURUSD,2026-02-17 13:50:00,-1.1,-55.00000000000001,3354.999999999999
EURUSD,2026-02-17 13:55:00,-1.1,-55.00000000000001,3299.999999999999
SOLUSD,2026-02-17 15:00:00,2.4,120.0,3419.999999999999
ETHUSD,2026-02-17 15:20:00,-1.1,-55.00000000000001,3364.999999999999
USDCAD,2026-02-17 15:30:00,-1.1,-55.00000000000001,3309.999999999999
CADCHF,2026-02-17 15:35:00,2.4,120.0,3429.999999999999
USDCAD,2026-02-17 15:35:00,-1.1,-55.00000000000001,3374.999999999999
