symbol,time,type,pnl_r,regime,dollar_pnl,balance
EURGBP,2026-03-24 06:30:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,7235.0
EURGBP,2026-03-25 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,7200.0
EURGBP,2026-03-26 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,7165.0
EURGBP,2026-03-27 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,7130.0
EURGBP,2026-03-30 07:45:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,7182.5
EURGBP,2026-03-31 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,7147.5
EURGBP,2026-04-01 10:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,7112.5
EURGBP,2026-04-02 06:30:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,7077.5
EURGBP,2026-04-03 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,7042.5
EURGBP,2026-04-06 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,7007.5
EURGBP,2026-04-07 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6972.5
EURGBP,2026-04-08 06:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6937.5
EURGBP,2026-04-09 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6902.5
EURGBP,2026-04-10 07:55:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6867.5
AUDUSD,2025-11-18 06:40:00,ANTITESIS,-0.7,TRENDING,-35.0,6832.5
AUDUSD,2025-11-19 06:55:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6797.5
AUDUSD,2025-11-20 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6762.5
AUDUSD,2025-11-21 07:00:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6727.5
AUDUSD,2025-11-24 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6692.5
AUDUSD,2025-11-25 06:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6657.5
AUDUSD,2025-11-26 06:30:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6710.0
AUDUSD,2025-11-27 07:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6675.0
AUDUSD,2025-11-28 08:15:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6727.5
AUDUSD,2025-12-01 06:15:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6780.0
AUDUSD,2025-12-02 06:55:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6745.0
AUDUSD,2025-12-03 06:40:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6797.5
AUDUSD,2025-12-04 07:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6762.5
AUDUSD,2025-12-05 08:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6727.5
AUDUSD,2025-12-08 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6692.5
AUDUSD,2025-12-09 08:00:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6657.5
AUDUSD,2025-12-10 06:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6622.5
AUDUSD,2025-12-11 06:50:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6675.0
AUDUSD,2025-12-12 07:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6640.0
AUDUSD,2025-12-15 06:55:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6605.0
AUDUSD,2025-12-16 07:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6570.0
AUDUSD,2025-12-17 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6535.0
AUDUSD,2025-12-18 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6500.0
AUDUSD,2025-12-19 08:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6465.0
