Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
402506102,"2026-03-16 02:03:21",sell,0.01,ETHUSD,2187.94000000,2217.09,2129.82000000,"2026-03-16 02:53:53",2174.09000000,0,-0.14,1.39000000,13.9,3032
402506099,"2026-03-16 02:03:21",sell,0.01,ETHUSD,2187.94000000,2226.8,2118.19000000,"2026-03-16 02:53:53",2174.09000000,0,-0.14,1.39000000,13.9,3032
402506096,"2026-03-16 02:03:21",sell,0.01,ETHUSD,2187.94000000,2217.09,2135.63000000,"2026-03-16 02:53:53",2174.09000000,0,-0.14,1.39000000,13.9,3032
402506093,"2026-03-16 02:03:21",sell,0.01,ETHUSD,2187.94000000,2226.8,2129.83000000,"2026-03-16 02:53:53",2174.09000000,0,-0.14,1.39000000,13.9,3032
402506090,"2026-03-16 02:03:21",sell,0.01,ETHUSD,2187.94000000,2217.09,2144.36000000,"2026-03-16 02:53:53",2174.09000000,0,-0.14,1.39000000,13.9,3032
402296991,"2026-03-13 23:32:52",buy,0.01,CADJPY,116.38400000,116.106,116.79000000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,-0.08000000,-1.3,184861
402296934,"2026-03-13 23:32:16",sell,16.05,CADJPY,116.35000000,116.584,116.01400000,"2026-03-16 02:53:53",116.38400000,-76.06,-80.26,-342.00000000,-3.4,184897
402100382,"2026-03-13 18:39:00",buy,0.01,CADJPY,116.20200000,115.819,117.35200000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.06000000,16.9,202493
402100375,"2026-03-13 18:14:10",buy,0.01,CADJPY,116.20100000,115.971,116.89100000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.07000000,17,203983
402100365,"2026-03-13 18:14:10",buy,0.01,CADJPY,116.20100000,115.588,117.12100000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.07000000,17,203983
402100347,"2026-03-13 18:14:10",buy,0.01,CADJPY,116.20100000,115.741,116.89100000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.07000000,17,203983
402100333,"2026-03-13 18:39:00",buy,0.01,CADJPY,116.20200000,115.819,116.77700000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.06000000,16.9,202493
402100318,"2026-03-13 18:14:07",buy,0.01,CADJPY,116.20200000,115.895,116.66200000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.06000000,16.9,203986
402100311,"2026-03-13 18:14:07",buy,0.01,CADJPY,116.20200000,115.925,116.61500000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.06000000,16.9,203986
402100282,"2026-03-13 18:14:04",buy,0.01,CADJPY,116.20200000,115.972,116.54700000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.06000000,16.9,203989
402100269,"2026-03-13 18:14:03",buy,0.01,CADJPY,116.20000000,116.016,116.47600000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.07000000,17.1,203990
402100235,"2026-03-13 18:39:02",buy,0.01,CADJPY,116.20500000,115.896,116.96900000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.04000000,16.6,202491
402100231,"2026-03-13 18:14:04",buy,0.01,CADJPY,116.20200000,115.972,116.77700000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.06000000,16.9,203989
402100212,"2026-03-13 18:39:02",buy,0.01,CADJPY,116.20500000,115.897,116.81700000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.04000000,16.6,202491
402100194,"2026-03-13 18:13:59",buy,0.01,CADJPY,116.19800000,115.966,116.65600000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.08000000,17.3,203994
402100172,"2026-03-13 18:13:59",buy,0.01,CADJPY,116.19800000,115.89,116.74900000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.08000000,17.3,203994
402100148,"2026-03-13 18:13:59",buy,0.01,CADJPY,116.19800000,115.967,116.61100000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.08000000,17.3,203994
